Old Spice | NFL | Deliverables Doc,,,,,,,,,,
ISCIs + Deliverables,,,,,,,,,,
Date Document Updated:,8/12/25,Uploaded/ Passed QC,SHIPPED,,,,,,,
Total Deliverables: ,106,In Progress,,,,,,,,
WK Production Job #: ,OLDPNAMV1033,Changed/New,,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
BROADCAST NTSC Masters: (16:9),,,,,,,,,,
,7/15,8/1,PGOC5430000H,NFL_Smells Like Football_DEO_NA_WEB_16x9_HD_06,WEB,,,,,
,7/15,8/1,PGOC5431000H,NFL_Smells Like Football_DEO_CAPS_NA_WEB_16x9_HD_06,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5432000H,NFL_Smells Like Football_DEO_NA_WEB_16x9_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,7/15,8/1,PGOC5433000H,NFL_Presenting Coaching_DEO_Product_NA_WEB_16x9_HD_06,WEB,,,,,
,7/15,8/1,PGOC5434000H,NFL_Presenting Coaching_DEO_Product_CAPS_NA_WEB_16x9_HD_06,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5435000H,NFL_Presenting Coaching_DEO_Product_NA_WEB_16x9_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,7/18,8/1,PGOC5632000H,NFL_Smell Like a Footballman REV1_DEO_NA_WEB_16x9_HD_30,WEB,,,,,
,7/18,8/1,PGOC5633000H,NFL_Smell Like a Footballman REV1_DEO_CAPS_NA_WEB_16x9_HD_30,WEB,Burned-In Subtitles,,,,
,7/18,8/1,PGOC5634000H,NFL_Smell Like a Footballman REV1_DEO_NA_WEB_16x9_Generic_HD_30,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5647000H,NFL_EagleScream_DEO_NA_WEB_16x9_HD_15,WEB,,,,,
,10/24,TBD,PGOC5648000H,NFL_EagleScream_DEO_CAPS_NA_WEB_16x9_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5649000H,NFL_EagleScream_DEO_NA_WEB_16x9_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,9/19,9/30,PGOC5650000H,NFL_Soar_DEO_NA_WEB_16x9_HD_06,WEB,,,,,
,9/19,9/30,PGOC5651000H,NFL_Soar_DEO_CAPS_NA_WEB_16x9_HD_06,WEB,Burned-In Subtitles,,,,
,9/19,9/30,PGOC5652000H,NFL_Soar_DEO_NA_WEB_16x9_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,9/19,TBD,PGOC5653000H,NFL_Highlight_DEO_NA_WEB_16x9_HD_06,WEB,,,,,
,9/19,TBD,PGOC5654000H,NFL_Highlight_DEO_CAPS_NA_WEB_16x9_HD_06,WEB,Burned-In Subtitles,,,,
,9/19,TBD,PGOC5655000H,NFL_Highlight_DEO_NA_WEB_16x9_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5678000H,NFL_BigManTackles_DEO_NA_WEB_16x9_HD_15,WEB,,,,,
,10/24,TBD,PGOC5679000H,NFL_BigManTackles_DEO_CAPS_NA_WEB_16x9_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5680000H,NFL_BigManTackles_DEO_NA_WEB_16x9_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5681000H,NFL_Space_DEO_NA_WEB_16x9_HD_15,WEB,,,,,
,10/24,TBD,PGOC5682000H,NFL_Space_DEO_CAPS_NA_WEB_16x9_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5683000H,NFL_Space_DEO_NA_WEB_16x9_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
DIGITAL Masters 1080x1350 Instagram Feed Single Post (4:5):,,,,,,,,,,
Channel,Ship Date:,Live Date:,ISCIs + Titles,,,Notes:,End Date:,End Card Details:,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,7/18,8/1,PGOC5436000H,NFL_Smell Like a Footballman_DEO_NA_WEB_4x5_HD_30,WEB,,,n/a,NTSC 23.98 FPS,Tylie
,7/18,8/1,PGOC5437000H,NFL_Smell Like a Footballman_DEO_CAPS_NA_WEB_4x5_HD_30,WEB,Burned-In Subtitles,,,Apple ProRes - QT,
,7/18,8/1,PGOC5438000H,NFL_Smell Like a Footballman_DEO_NA_WEB_4x5_Generic_HD_30,WEB,,,,1080x1350,
,,,,,,,,,NO SIZE RESTRICTION,
,7/15,8/1,PGOC5439000H,NFL_Look Down Coaching_DEO_NA_WEB_4x5_HD_15,WEB,,,,,
,7/15,8/1,PGOC5440000H,NFL_Look Down Coaching_DEO_CAPS_NA_WEB_4x5_HD_15,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5441000H,NFL_Look Down Coaching_DEO_NA_WEB_4x5_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,7/15,8/1,PGOC5442000H,NFL_Product Training_DEO_NA_WEB_4x5_HD_15,WEB,,,,,
