Nike || CAA - MLB Playoffs || *WIP* Deliverables Document ,,,,,,,
ISCIs + Deliverables,,,,,,,
Date Document Updated:,10/7/25,SHIPPED,Reship,,,,
DIGITAL Masters 750x750: (WEB MIX) Mobile,,,,,,,
Channel,Ship Date:,ISCIs + Titles,,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/6,ZWAK1364614H,Nike CAA MLB 750x750 WEB 30 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
,10/6,ZWAK1364616H,Nike CAA MLB 750x750 WEB 30 HD Generic,TRUE,clean,Apple ProRes - QT,
,,,,,,750x750,
,10/9,ZWAK1364738H,Nike CAA MLB 750x750 WEB 60 HD Titled,FALSE,N/a,NO SIZE RESTRICTION,
,10/9,ZWAK1364739H,Nike CAA MLB 750x750 WEB 60 HD Generic,FALSE,clean,,
,,,,,,,
DIGITAL Masters 2880x1400: (WEB MIX) Desktop,,,,,,,
Channel,Ship Date:,ISCIs + Titles,,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/6,ZWAK1364617H,Nike CAA MLB 2880x1400 WEB 30 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
,10/6,ZWAK1364619H,Nike CAA MLB 2880x1400 WEB 30 HD Generic,TRUE,clean,Apple ProRes - QT,
,,,,,,2880x1400,
,10/9,ZWAK1364740H,Nike CAA MLB 2880x1400 WEB 60 HD Titled,FALSE,N/a,NO SIZE RESTRICTION,
,10/9,ZWAK1364741H,Nike CAA MLB 2880x1400 WEB 60 HD Generic,FALSE,clean,,
,,,,,,,
DIGITAL Masters 828x1240: (WEB MIX) Mobile,,,,,,,
Channel,Ship Date:,ISCIs + Titles,,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/6,ZWAK1364620H,Nike CAA MLB 828x1240 WEB 30 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
,10/6,ZWAK1364622H,Nike CAA MLB 828x1240 WEB 30 HD Generic,TRUE,clean,Apple ProRes - QT,
,,,,,,828x1240,
,10/9,ZWAK1364742H,Nike CAA MLB 828x1240 WEB 60 HD Titled,FALSE,N/a,NO SIZE RESTRICTION,
,10/9,ZWAK1364743H,Nike CAA MLB 828x1240 WEB 60 HD Generic,FALSE,clean,,
,,,,,,,
DIGITAL Masters 2688x1000: (WEB MIX) Desktop,,,,,,,
Channel,Ship Date:,ISCIs + Titles,,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/6,ZWAK1364623H,Nike CAA MLB 2688x1000 WEB 30 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
